image_id,image,brightness_threshold,defect_percentage,number_of_defects,yellow_ratio,largest_defect_ratio,mean_defect_ratio,aspect_ratio,circularity,solidity,grade
NDM_M1 (1),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (1).jpg,22,0.12368163382561108,4,70.82615603402999,0.0005317871667147285,0.0003092040845640277,2.1810012836970474,0.5993192817795255,0.9594226397212191,NDM_M1
NDM_M1 (10),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (10).jpg,18,0.5393164032180003,16,68.41684245130537,0.0008282424275630314,0.0003370727520112502,0.5014475969889982,0.6244113931542907,0.9601539954934576,NDM_M1
NDM_M1 (100),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (100).jpg,20,0.1508706469122003,6,72.21584951915118,0.0005318630587644105,0.0002514510781870005,0.461046511627907,0.5726849293251042,0.9509319637117416,NDM_M1
NDM_M1 (101),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (101).jpg,21,0.13049872977670812,4,83.93924321433347,0.00045139724562107234,0.0003262468244417703,2.1890166028097062,0.6005001117021777,0.9574169698904084,NDM_M1
NDM_M1 (102),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (102).jpg,21,0.1228991360693455,4,83.9366871569868,0.0004353346247190915,0.00030724784017336374,0.45650904845300644,0.6020006335440846,0.9581291526160036,NDM_M1
NDM_M1 (103),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (103).jpg,28,0.11823646513874767,5,58.36547339387352,0.00039834196245261774,0.00023647293027749536,1.8689057421451787,0.6093911669044825,0.9480626175837524,NDM_M1
NDM_M1 (104),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (104).jpg,28,0.11820917961466144,5,58.49299849171319,0.00039240773793005403,0.0002364183592293229,0.5353828306264501,0.6131826528241918,0.9481276195427253,NDM_M1
NDM_M1 (105),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (105).jpg,20,0.14130273423539827,3,23.727771393802108,0.0009081129029006464,0.0004710091141179942,1.9367945823927766,0.6025337122431383,0.9414128457574737,NDM_M1
NDM_M1 (106),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (106).jpg,20,0.1460240509123755,3,23.71553342292651,0.000936239523415607,0.000486746836374585,0.5163170163170163,0.6079788311822881,0.9423189444946334,NDM_M1
NDM_M1 (107),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (107).jpg,17,0.16297912939292292,3,58.08350259899267,0.0009389453555990794,0.0005432637646430764,1.8698030634573304,0.6272754731182724,0.9618488884741888,NDM_M1
NDM_M1 (108),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (108).jpg,17,0.15484245586586773,3,58.22580385009315,0.0009213932595143431,0.0005161415195528924,0.5357142857142857,0.6275919064750548,0.9615301502791481,NDM_M1
NDM_M1 (109),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (109).jpg,18,0.19717808903431328,4,83.56735881456028,0.0006064027972272621,0.0004929452225857832,1.9381443298969072,0.6478637917291827,0.9670447884863906,NDM_M1
NDM_M1 (11),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (11).jpg,21,0.12935865133173838,5,80.20097287243767,0.0004530533410696828,0.00025871730266347674,2.058542413381123,0.6190859564852998,0.9626636344077056,NDM_M1
NDM_M1 (110),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (110).jpg,18,0.1931640524419026,4,83.71582342007254,0.0006160262034616009,0.0004829101311047565,0.5168539325842697,0.6448276878669412,0.9667223497967173,NDM_M1
NDM_M1 (111),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (111).jpg,23,0.05019365927220297,3,5.2503670756070955,0.00025041671768769394,0.0001673121975740099,2.213820078226858,0.5955936056420166,0.9624232467923517,NDM_M1
NDM_M1 (112),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (112).jpg,22,0.055810588128889366,3,5.205385170266412,0.0002889797250942493,0.00018603529376296456,0.45288574793875147,0.5979015208249442,0.9621583220424424,NDM_M1
NDM_M1 (113),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (113).jpg,22,0.12309643102688772,5,10.850909225645227,0.00039419676491051837,0.0002461928620537754,2.1433962264150943,0.6094136271558243,0.9655027684715378,NDM_M1
NDM_M1 (114),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (114).jpg,22,0.1318157542979036,5,10.69179089349678,0.0003930805475550287,0.0002636315085958072,0.4665492957746479,0.6048693160350866,0.9646890014025524,NDM_M1
NDM_M1 (115),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (115).jpg,20,0.13222499208433858,5,94.82906630871526,0.0008127488973818114,0.00026444998416867715,2.1637055837563453,0.6070628197925806,0.974567371477195,NDM_M1
NDM_M1 (116),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (116).jpg,20,0.09074349467244273,3,94.95871951341867,0.0005350967744812348,0.0003024783155748091,0.4618991793669402,0.6062593446689211,0.9745996611763886,NDM_M1
